prediction,sentence,audio_id,openai/whisper-small,openai/whisper-large-v3,BELLE-2/Belle-whisper-large-v3-zh
喜欢老花，喜欢棕色，老花，喜欢经典款，喜欢拖特棒，喜欢欧洲购。,喜欢老花，喜欢棕色老花，喜欢经典款，喜欢托特包，喜欢onthego。,725109,喜欢老花 喜欢中色 喜欢经典款喜欢拖特包 喜欢Ozago,喜欢老花喜欢棕色老花喜欢经典款喜欢托特包喜欢all the gold,喜欢老花喜欢棕色老花喜欢经典款喜欢托特包喜欢欧洲购
客人自用常驻成都，喜欢speed207，潘哥喜欢，喜欢阅读，爬山旅游。,客人自用常驻成都，喜欢speedy20，棋盘格，喜欢nano speedy，喜欢阅读，爬山旅游。,724912,"客人自用常駐成都,喜欢Sbedi 207判格,喜欢Nano Spidio,喜欢阅读爬山,旅游。",客人自用常住成都喜欢Speedy 207 盘格喜欢Nano Speedy喜欢阅读爬山旅游,客人自用常住成都喜欢斯比迪二零七判格喜欢拉诺斯比迪喜欢阅读爬山旅游
顾客喜欢金属链条，露哥喜欢小包，各位喜欢夜下，各位喜欢棕色更喜欢帆布，都会喜欢皮质休闲斜挎。,顾客喜欢金属链条，顾客喜欢小包，顾客喜欢腋下，顾客喜欢棕色顾客喜欢帆布，顾客喜欢皮质顾客喜欢斜挎,724955,Google喜歡金屬鏈條Google喜歡小包Google喜歡頁下Google喜歡棕色Google喜歡反部Google喜歡皮質Google喜歡鞋胯,"顾客喜欢金属链条,顾客喜欢小包,顾客喜欢夜夏,顾客喜欢棕色,顾客喜欢帆布,顾客喜欢皮质,顾客喜欢鞋挎。",顾客喜欢金属链条顾客喜欢小包顾客喜欢腋下顾客喜欢棕色顾客喜欢帆布顾客喜欢皮质顾客喜欢鞋挎
苏州人休闲年轻，时尚优雅，喜欢，老还喜欢小宝，喜欢迷你包，可推荐女包，可推荐男包，可推荐女鞋，可推荐男鞋，可推荐男装。,苏州人休闲年轻，时尚优雅，喜欢老花，喜欢小包，喜欢迷你包，可推荐女包，可推荐男包，可推荐女鞋，可推荐男鞋，可推荐男装。,724395,"苏州人,休闲,年轻,时尚,优雅,喜欢老环,喜欢小宝,喜欢明女宝,可推荐女宝,可推荐男宝,可推荐女鞋,可推荐男鞋,可推荐男装。",苏州人休闲年轻时尚优雅喜欢老花喜欢小包喜欢迷你包可推荐女包可推荐男包可推荐女鞋可推荐男鞋可推荐男装,苏州人休闲年轻时尚优雅喜欢老花喜欢小包喜欢迷你包可推荐女包可推荐男包可推荐女鞋可推荐男鞋可推荐男装
喜欢手拿包，喜欢黑色买过手拿包买过本，喜欢牛皮有质感的包包，喜欢Tokyo牛皮。,"喜欢手拿包，喜欢黑色,买过手拿包买过voyage, 喜欢牛皮有质感的包包，喜欢taurillon牛皮。",723123,喜欢手拿包 喜欢黑色 买过手拿包 买过的牙去喜欢牛皮 有质感的包包喜欢头黑的牛皮,喜欢手拿包喜欢黑色买过手拿包买过Beyage喜欢牛皮有质感的包包喜欢Tohion牛皮,喜欢手拿包喜欢黑色买过手拿包买过本雅喜欢牛皮有质感的包包喜欢头黑用牛皮
顾客喜欢腋下包都不喜欢大宝，各位self不会喜欢，老发个自用个送礼。,顾客喜欢腋下包，顾客喜欢大包，顾客喜欢neverfull，顾客喜欢老花，顾客自用，顾客送礼。,724958,顾客喜欢夜下包顾客喜欢大包顾客喜欢奈尔夫顾客喜欢老花各自用顾客送礼,顾客喜欢夜夏包 顾客喜欢大包 顾客喜欢奈何富 顾客喜欢老花 顾客喜欢自由 顾客喜欢送礼,顾客喜欢夜下包顾客喜欢大包顾客喜欢男儿服顾客喜欢老花顾客自用顾客送礼
无锡人喜欢啊，胖牛皮喜欢大象灰颜色喜欢休闲包包喜欢斜挎，可以推荐饰品配饰。,无锡人喜欢empreinte牛皮喜欢大象灰颜色喜欢休闲包包喜欢斜挎，可以推荐饰品配饰。,724652,胡锡人喜欢胸膀牛皮 喜欢大象灰颜色喜欢休闲包包 喜欢写画可以推荐视频配饰,无锡人喜欢按胖牛皮喜欢大象灰颜色喜欢休闲包包喜欢写画可以推荐饰品配饰,无锡人喜欢昂胖牛皮喜欢大象灰颜色喜欢休闲包包喜欢鞋挎可以推荐饰品配饰
喜欢Lisa，喜欢喜欢单肩，喜欢手雷，喜欢俺胖材质，喜欢on the go包包。,喜欢leather，喜欢喜欢单肩，喜欢手拎，喜欢empreinte材质，喜欢on the go包包。,724673,喜欢累子 喜欢单筋 喜欢手类 喜欢肮胖材质喜欢肮胖 包包,喜欢镭射 喜欢单肩 喜欢手雷 喜欢肮胖材质 喜欢肮子高 包包,喜欢脸色喜欢单肩喜欢手雷喜欢昂胖材质喜欢安泽哥宝宝
无锡人短头发喜欢粉色，买果时关注小红书。,无锡人短头发喜欢粉色，买过gucci关注小红书。,726392,吴希仁短头发希望粉色买过古池关注小红书,无锡人短头发喜欢粉色买过果池关注小红书,无锡人短头发喜欢粉色买过果池关注小红书
常州人喜欢大包，喜欢托，特喜欢老花，喜欢经典。,常州人喜欢大包，喜欢托特喜欢老花，喜欢经典。,726445,常州人喜欢大包、喜欢拖特、喜欢老花、喜欢经典,常州人喜欢大包喜欢托特喜欢老花喜欢经典,常州人喜欢大包喜欢托特喜欢老花喜欢经典
喜欢好花，喜欢金店，买过4b35喜欢休闲。,喜欢好花，喜欢经典，买过speedy35喜欢休闲。,726222,喜欢老花 喜欢经典买过10 bg35 喜欢休闲,喜歡老花喜歡經典買過SPG35喜歡休閒,喜欢老花喜欢经典买过斯比迪三五喜欢休闲
喜欢老花，买个never full，买过CD，喜欢经典。,喜欢老花，买过neverfull，赠礼，买过speedy，喜欢经典。,726047,喜歡老花買過Never for 正理買過Spedi喜歡經典,喜歡老花買過Neverfall正里買過Speedy喜歡經典,喜欢老花买过neverfall镇里买过spidi喜欢经典
无锡人短头发喜欢浅色买过never关注小红书。,无锡人短头发喜欢浅色买过neverfull关注小红书。,726093,吳希仁短头发喜欢浅色买过Nelofo关注小红书,无锡人短头发喜欢浅色买过never 4关注小红书,无锡人短头发喜欢浅色买过networkfour关注小红书
喜欢老还喜欢梦到国人，喜欢on the go。,喜欢老花喜欢monogram，喜欢onthego。,726099,"喜歡老花,喜歡莫莫古人,喜歡奧勒戈",喜歡老花 喜歡monogram 喜歡on the go,喜欢老花喜欢梦到故人喜欢AllTheGo
购买过PT购买过never full中号。,购买过petite malle，购买过never full中号。,725855,"購買過Pattie Mall,購買過Level 4中號","购买过Petit Mou,购买过Level 4中号",购买过pattymall购买过levelfour中号
喜欢老花 on the go小号喜欢kiss。,喜欢老花买 on the go小号，喜欢cannes。,725667,喜歡老花買On the go小號喜歡CANCE,喜歡老花買on the go小號喜歡Kens,喜欢老华买onthego小号喜欢Kens
购买lonely baby never full。,购买noe bb never full。,725601,購買Loyy BB Never Full,购买Loyal BB Neverfull,购买loebbeneverfall
年轻美女脖子涌喜欢老化么？Teeth邮差包休闲精致，大爆款。,年轻买女包自用，喜欢老花metis邮差包休闲精致，大爆款。,725460,年轻妈女包自有喜欢老花们替私有茶包休闲静置大包款,年轻妈女抱子泳喜欢老花马T4油茶包休闲静止大包款,年轻曼女包子有喜欢老伴们替死有茶包休闲静止大包款
喜欢老婆，喜欢开热小孩，大宝喜欢休闲款。,喜欢老花，喜欢carryall，喜欢大包，喜欢休闲款。,725486,喜欢老花 喜欢kareo 喜欢大包 喜欢秀仙款,喜欢老华喜欢Carol喜欢大宝喜欢休闲款,喜欢老华喜欢开热喜欢大宝喜欢休闲款
让他的朋友订了凯奥，买了软盒子。,让他的朋友订了carryall，买了软盒子。,725570,让他的朋友订了Kavya out买了软盒子,让他的朋友订了carry out买了软盒子,呃让他的朋友订了开瑞奥买了软盒子
喜欢脑花，喜欢Carl。,喜欢老花，喜欢carryall。,725504,喜歡腦花喜歡卡路,喜歡腦花喜歡卡爾渥,喜欢脑花喜欢卡尔沃
喜欢老花喜欢那么款。,喜欢老花喜欢热门款。,725502,喜歡老花喜歡樂能快,喜欢老花喜欢热门款,喜欢老花喜欢热门款
喜欢追那些嗯穿40码40码半。,喜欢trainer鞋嗯穿40码40码半。,725544,喜歡吹那鞋穿四十馬半,喜歡穿那鞋穿40碼半,喜欢吹那儿鞋穿四十码四十码半
买过皮质包包leather，喜欢老花care到货提醒BD到货提醒。,"买过皮质包包leather，喜欢老花carryall到货提醒, nano speedy到货提醒。",725141,买过皮质包包Lazer喜欢老花Carry O到货提醒Nanos BD到货提醒,买过皮质包包Lazer喜欢老花Carryall到货提醒Nano Speedy到货提醒,买过皮质包包勒泽尔喜欢老花CarrieO到货提醒Nanospeedy到货提醒
喜欢牛皮有质感的包包，买过特买过中号托，特喜欢大包赠礼。,喜欢牛皮有质感的包包，买过托特买过中号托特喜欢大包赠礼。,725147,喜歡牛皮有質感的包包買過拖特買過中號拖特喜歡大包贈禮,喜欢牛皮有质感的包包买过托特买过中号托特喜欢大包赠礼,喜欢牛皮有质感的包包买过托特买过中号托特喜欢大包赠礼
小老花喜欢经典，喜欢黑色，喜欢皮质，喜欢小尤，才喜欢斜挎。,喜欢老花喜欢经典，喜欢黑色，喜欢皮质，喜欢小邮差，喜欢斜挎。,725227,喜欢老花 喜欢经典 喜欢黑色 喜欢皮质 喜欢小油 喜欢鞋胯,喜歡老花 喜歡經典 喜歡黑色 喜歡皮質 喜歡小油拆 喜歡斜跨,喜欢老花喜欢经典喜欢黑色喜欢皮质喜欢小邮差喜欢鞋框
05后身高1米65，苗条签售喜欢on the go小号喜欢老花喜欢kiss。,05后身高1米65，苗条签售喜欢on the go小号喜欢老花喜欢cannes,724983,05後 升高1米65秒跳千壽喜歡安樂構小號 喜歡老花 喜歡Kens,05后身高1米65苗条 牵兽喜欢on the go小号喜欢老花喜欢Kens,零五后身高一米六五苗条千寿喜欢小号喜欢老黄喜欢Kens
无心人90后，嗯以后牛角包喜欢今年款喜欢老花。,无锡人，90后，嗯已购牛角包，喜欢经典款喜欢老花。,725024,吳希仁就領後以購牛角包喜歡今年款 喜歡老花,吳希仁90後已夠牛角薄喜歡今年款喜歡老花,无锡人九零后已够牛角薄喜欢金年款喜欢老花
客人长住江苏自用买过爱马仕，喜欢嗯想看男鞋腰带。,客人长住江苏自用买过爱马仕，喜欢嗯monogram想看男鞋腰带。,724913,客人常住江苏自用买过爱马士喜欢monogram想看男鞋腰带,客人常住江苏自用买过爱马仕喜欢monogram想看男鞋腰带,客人常住江苏自用买过爱马仕喜欢梦想看男鞋腰带
无锡人喜欢老花包，喜欢把棍，喜欢牛角，喜欢休闲，喜欢斜挎，是吗？,无锡人喜欢老花包，喜欢法棍，喜欢牛角，喜欢休闲，喜欢斜挎，是吗？,724956,好新人 喜欢老花包喜欢法棍 喜欢牛角 喜欢休閒 喜欢写画是吗,嗯 无锡人喜欢老花包喜欢法棍喜欢牛角喜欢休闲喜欢鞋跨什么,无锡人喜欢老花包喜欢把棍喜欢牛角喜欢休闲喜欢鞋跨什么
买过阿奇莱，买过PPT。,买过archlight，买过petite malle,721793,買過阿齊賴買過沛丁墨,買過阿其賴買過佩蒂莫,买过阿奇赖买过佩克蒂莫
无锡人喜欢大包，喜欢特喜欢使用，有送礼需求。,无锡人喜欢大包，喜欢托特喜欢实用，有送礼需求。,724895,我心人喜欢大包 喜欢拖特 喜欢食用有送离需求,吴希云喜欢大包喜欢托特喜欢食用有送礼需求,吴昕人喜欢大包喜欢托特喜欢食用有送礼需求
在上海买过喜欢老花买了推理。,在上海买过喜欢老花买了twinny。,720793,在上海买过喜欢老花买了推你,在上海买过喜欢老花买了Tweenie,在上海买过喜欢老花买了推你
比较纠结，喜欢法国，喜欢牛角，喜欢老花，喜欢黑色，喜欢灰色。,比较纠结，喜欢法棍，喜欢牛角，喜欢老花，喜欢黑色，喜欢灰色。,724690,比较纠结 喜欢法棍 喜欢牛角 喜欢老花 喜欢黑色 喜欢灰色,比較糾結喜歡法國人喜歡牛角喜歡老花喜歡黑色喜歡灰色,比较纠结喜欢法棍喜欢牛角喜欢老花喜欢黑色喜欢灰色
自用喜欢老花，喜欢精致，喜欢小猫，喜欢斜挎包，喜欢可爱，喜欢发过去。,自用，喜欢老花，喜欢精致，喜欢小包，喜欢斜挎包，喜欢可爱，喜欢法棍。,724756,"自用,喜欢老花,喜欢精致,喜欢小包,喜欢鞋胯包,喜欢可爱,喜欢法国",自用 喜欢老花 喜欢精致喜欢小包 喜欢斜挎包喜欢可爱 喜欢法棍,自用喜欢老花喜欢金枝喜欢小包喜欢斜挎包喜欢可爱喜欢法棍
新疆人喜欢品质款，喜欢黑色包，喜欢大包。,新疆人喜欢皮质款，喜欢黑色包，喜欢大包。,724766,新疆人喜欢品质款喜欢黑色包喜欢大包,新疆人喜欢皮质款喜欢黑色包喜欢大包,新疆人喜欢皮质款喜欢黑色包喜欢大包
喜欢牛角，爱创 new包。,喜欢牛角，side trunk，女包,717356,喜欢牛角Side trunk女包,喜歡牛角Side trunk女胞,喜欢牛角Sidechonk女包
精致，休闲优雅，广州人喜欢老化，可推荐你bug推荐配饰。,精致，休闲优雅，广州人喜欢老花，可推荐女包可推荐配饰。,724399,敬俱休閒優雅廣州人喜歡老話可推薦你不要可推薦佩飾,精致 休闲 优雅 广州人喜欢老花可推荐女胞可推荐佩适,金志休闲优雅广州人喜欢老话可推荐女报可推荐配饰
自用喜欢老花，喜欢精致，喜欢法国，喜欢可爱喜欢。,自用，喜欢老花，喜欢精致，喜欢法棍，喜欢可爱喜欢牛角包。,724422,自用喜欢老花喜欢精致喜欢法棺喜欢可爱喜欢有脚步,自用喜欢老花喜欢精致喜欢法官喜欢可爱喜欢牛角包,自用喜欢老花喜欢精致喜欢法官喜欢可爱喜欢有脚光
恒隆新会员需要发票，喜欢小差。,恒隆新会员需要发票，喜欢小邮差。,724441,恒龙新会员需要发票喜欢小拆,恒隆新会员需要发票喜欢小邮差,恒隆新会员需要发票喜欢小钗钗
喜欢黑色小包，喜欢一时这瓶香水。,喜欢黑色小包，喜欢逸时这瓶香水。,724455,"喜欢黑色小包,喜欢一池这瓶香水",喜欢黑色小包喜欢一匙这瓶香水,喜欢黑色小包喜欢义驰这瓶香水
90后定系吾系比较休闲随性，循环经典老花款式的斜挎包。,90后，定居无锡，比较休闲随性，喜欢经典老花款式，喜欢斜挎包。,724487,90号店居务系比较休闲随性什么经纪老花款是什么 写跨包,90后电剧舞戏比较休闲随性就会经典老花款是什么鞋跨包,九零后电器舞戏比较休闲随性喜欢经典老花款是喜欢写挎包
自用喜欢老花，喜欢精致，喜欢可爱，喜欢油皮，喜欢小猫。,自用喜欢老花，喜欢精致，喜欢可爱，喜欢牛皮，喜欢小包。,724550,"自用,喜欢老花,喜欢精致,喜欢可爱,喜欢牛皮,喜欢小包",自用 喜歡老花 喜歡精緻 喜歡可愛 喜歡牛皮 喜歡小包,自用喜欢老花喜欢精致喜欢可爱喜欢牛皮喜欢小包
喜欢老花，喜欢经典，喜欢never，不喜欢红色，喜欢手提。,喜欢老花，喜欢经典，喜欢neverfull，喜欢红色，喜欢手提。,724255,喜欢老花 喜欢金蝶 喜欢Never Foo 喜欢红色 喜欢手提,喜歡老花喜歡經典喜歡Neverfoo喜歡紅色喜歡手提,喜欢老花喜欢金碟喜欢NEVERFUL喜欢红色喜欢手提
喜欢老花，喜欢他的诺，也喜欢小宝，喜欢斜挎，喜欢经典。,喜欢老花，喜欢nano noe，喜欢小包，喜欢斜挎，喜欢经典。,724326,喜欢老花 喜欢Nano 喜欢小包 喜欢鞋 喜欢金点,喜歡老花喜歡Nanano也喜歡小胞喜歡鞋跨喜歡經典,喜欢老话喜欢拉多诺语喜欢小包喜欢鞋挎喜欢经典
喜欢老花，喜欢经典款，喜欢小宝，喜欢ib，喜欢牛角，喜欢法棍。,喜欢老花，喜欢经典款，喜欢小包，喜欢ivy，喜欢牛角，喜欢法棍。,724000,喜歡老花喜歡經典款喜歡小包喜歡Ivy喜歡牛角喜歡法棍,喜欢老花喜欢经典款喜欢小宝喜欢艾比喜欢牛角喜欢法棍,喜欢老花喜欢经典款喜欢小包喜欢艾比喜欢牛角喜欢法棍
喜欢黑色，喜欢看，若喜欢法官。,喜欢黑色，喜欢carryall喜欢法棍,724010,喜欢黑色喜欢kara喜欢法棍,喜歡黑色喜歡Carol喜歡法棍,喜欢黑色喜欢开肉喜欢法棍
四川人喜欢的花喜欢Cara哦。,四川人喜欢老花喜欢carryall,724135,四川人 喜欢老花 喜欢K-R-O,四川人喜欢老花喜欢Kary Oh,四川人喜欢老花喜欢凯瑞
可推荐音箱已购，campaign go never fall，无锡人喜欢在国外购买喜欢爱马仕。,可推荐硬箱，已购capucines，已购neverfull，无锡人喜欢在国外购买喜欢爱马仕。,725025,"可推薦印箱,CAPSY,Never for 無稀人喜歡在國外購買,喜歡愛馬仕","可推荐印箱已购,Capsin已购,Neverfall无锡人喜欢在国外购买,喜欢爱马仕",可推荐印箱已购Capsule已购NeverFall无锡人喜欢在国外购买喜欢爱马仕
无锡人喜欢运动休闲，喜欢note，喜欢脱鞋子，尺码36。,无锡人喜欢运动休闲，喜欢gucci，喜欢拖鞋，尺码36。,724815,我信任喜欢运动 休息 喜欢露铁 喜欢脱鞋鞋子去马萨十六,无锡人喜欢运动休闲喜欢楼梯喜欢拖鞋鞋子尺码36,无锡人喜欢运动休闲喜欢撸铁喜欢拖鞋鞋子尺码三十六
喜欢大包，喜欢我的狗，喜欢老黄轩第2巷，华仑天奴现经典款就是超级大包。,喜欢大包，喜欢onthego，喜欢老花，喜欢迪奥，喜欢华伦天奴，喜欢经典款，喜欢超级大包。,724828,喜歡大包喜歡紅色狗喜歡老花喜歡迪奧喜歡華麗天如喜歡金點款喜歡超級大包,喜欢大包喜欢on the go喜欢老花喜欢迪奥喜欢华丽天柔喜欢经典款喜欢超值大包,喜欢大包喜欢欧洲狗喜欢老花喜欢迪奥喜欢华联天柔喜欢经典款喜欢超级大包
无锡人喜欢爱马仕，喜欢上罗兰，低调有质感，娇小。,无锡人喜欢爱马仕，喜欢圣罗兰，低调有质感，娇小。,724853,无锡人喜欢爱马士喜欢深罗兰低调有质感 娇小,无锡人喜欢爱马仕喜欢申罗兰低调有质感娇小,无锡人喜欢爱马仕喜欢圣罗兰低调有质感娇小
喜欢哭泣喜欢呆的窗口。,"喜欢gucci, 喜欢side trunk。身材高挑",724671,喜欢姑气 喜欢塞的创可身材高挑,喜欢Gucci喜欢Side Trunk身材高挑,喜欢姑且喜欢赛的创客身材高挑
喜欢经典款，喜欢休闲，喜欢法国人，喜欢老黄，喜欢经典款，喜欢撒尿。,喜欢经典款，喜欢休闲，喜欢法棍，喜欢老花，喜欢经典款，喜欢channel。,724482,喜欢经典款 喜欢朱古学 喜欢法国人 喜欢老花 喜欢经典款 喜欢Sanel,"喜歡經典款,喜歡修飾,喜歡法國人,喜歡老花,喜歡經典款,喜歡Sanel",喜欢经典款喜欢修学喜欢法国人喜欢老黄喜欢经典款喜欢沙奈尔
无锡人就零后已购，法国人喜欢女包，喜欢爱马仕喜欢哭泣。,无锡人，90后，已购法棍，喜欢女包，喜欢爱马仕喜欢gucci。,724569,吴新仁就零后以购法国人喜欢女包喜欢阿玛式喜欢酷奇,吴希人就灵后以购法棍喜欢女胞喜欢爱马仕喜欢哭泣,无锡人九零后以购法棍喜欢女胞喜欢爱马仕喜欢酷奇
山东人40岁左右，鞋子穿40码，买锅底啊。,山东人40岁左右，鞋子穿40码，买过迪奥,723800,山东人40岁左右鞋子穿40马买过的哦,山東人40歲左右鞋子穿40碼買過的,山东人四十岁左右嗯鞋子穿司令马买过迪奥
客人称此令客人穿罗意威，客人喜欢衣服很喜欢老花，年轻人自用。,客人穿celine，客人穿罗意威，客人喜欢衣服很喜欢老花，年轻人自用。,723388,客人穿死鱗 客人穿裸衣威客人喜欢衣服 客人喜欢老花年轻人自用,客人穿Celine客人穿罗伊威客人喜欢衣服客人喜欢老花年轻人自用,客人穿紫菱客人穿罗伊薇客人喜欢衣服客人喜欢老花年轻人自用
喜欢黑色，喜欢酷炫，喜欢经典款，喜欢羊皮，开rio，喜欢大号，选AC，选配饰，喜欢爱马仕，个子高，喜欢匡威。,喜欢黑色，喜欢酷炫，喜欢经典款，喜欢羊皮carryall，喜欢大号，喜欢ACC，喜欢配饰，喜欢爱马仕，个子高，喜欢匡威。,722643,喜歡黑色喜歡酷炫喜歡經典款喜歡羊皮KARUEL喜歡大豪喜歡ACC原配飾喜歡艾瑪士各自高喜歡曠威,喜欢黑色喜欢酷炫喜欢经典款喜欢洋癖carry out喜欢大号喜欢ACC喜欢佩诗喜欢爱马仕个子高喜欢匡威,喜欢黑色喜欢酷炫喜欢经典款喜欢洋皮凯瑞奥喜欢大号喜欢ACC喜欢佩仕喜欢艾玛士个子高喜欢匡威
喜欢逛街，喜欢香奈儿，喜欢跳。,喜欢逛街，喜欢香奈儿，喜欢迪奥,721459,"如果我關掉,如果我生死,如果我死掉",喜歡逛街 喜歡下门 喜歡吊,喜欢逛街喜欢下门喜欢吊
喜欢老黄啊，喜欢on the door，比较喜欢经典款，不喜欢黑色，不喜欢牛皮，喜欢爱马仕。,喜欢老花啊，喜欢on the go，比较喜欢经典款，不喜欢黑色，不喜欢牛皮，喜欢爱马仕。,720783,喜欢老花 喜欢熬肉豆要喜欢精减款 不喜欢黑色不喜欢肉皮喜欢爱马士,喜歡老花喜歡熬熱豆比較喜歡經典款不喜歡黑色不喜歡牛皮喜歡愛馬仕,喜欢老花喜欢熬热豆比较喜欢经典款不喜欢黑色不喜欢牛皮喜欢爱马仕
喜欢迪奥买过皮，只喜欢特别不喜欢包款。,喜欢迪奥，买过皮质，喜欢特别，不喜欢包款。,720686,喜歡迪奧買過皮質喜歡特別款不喜歡包款,喜歡迪奧買過皮質喜歡特別款不喜歡爆款,喜欢迪奥买过皮脂喜欢特别款不喜欢爆款
